StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);GenericCounter1(P);GenericCounter1(C);GenericCounter2(P);GenericCounter2(C);GenericCounter3(P);GenericCounter3(C);GenericCounter4(P);GenericCounter4(C);GenericCounter5(P);GenericCounter5(C);
2013-06-28	10:34:35:812	1372395875.812500;2013-06-28	10:34:35:812	1372395875.812500;2013-06-28	10:34:35:863	1372395875.863500;00:00:00;00:00:00;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-28	10:34:35:812	1372395875.812500;2013-06-28	10:35:35:836	1372395935.836500;00:01:00;00:01:00;25;24.9733;24.9733;0;0;1499;1499;1499;902;586;586;11;11;0;0;0;0;0;0;0;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;00:00:36:378;00:00:36:378;00:00:00:275;00:00:00:275;00:00:36:219;00:00:36:219;00:00:01:191;00:00:01:191;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-28	10:35:35:836	1372395935.836500;2013-06-28	10:36:35:838	1372395995.838500;00:01:00;00:02:00;25;25.0158;24.9946;0;0;1501;3000;3000;899;1504;2090;0;11;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;00:00:36:109;00:00:36:185;00:00:00:219;00:00:00:265;00:00:36:109;00:00:36:141;00:00:00:219;00:00:00:663;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-28	10:36:35:838	1372395995.838500;2013-06-28	10:37:35:838	1372396055.838500;00:01:00;00:03:00;25;25;24.9964;0;0;1500;4500;4500;900;1499;3589;0;11;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;00:00:36:045;00:00:36:126;00:00:00:152;00:00:00:235;00:00:36:045;00:00:36:101;00:00:00:152;00:00:00:518;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-28	10:37:35:838	1372396055.838500;2013-06-28	10:38:35:838	1372396115.838500;00:01:00;00:04:00;25;25;24.9973;0;0;1500;6000;6000;906;1494;5083;0;11;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;00:00:36:052;00:00:36:104;00:00:00:168;00:00:00:220;00:00:36:052;00:00:36:086;00:00:00:168;00:00:00:445;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-28	10:38:35:838	1372396115.838500;2013-06-28	10:39:35:840	1372396175.840500;00:01:00;00:05:00;25;24.9992;24.9977;0;0;1500;7500;7500;903;1503;6586;0;11;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;00:00:36:003;00:00:36:081;00:00:00:139;00:00:00:209;00:00:36:003;00:00:36:067;00:00:00:139;00:00:00:398;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-28	10:39:35:840	1372396175.840500;2013-06-28	10:40:35:842	1372396235.842500;00:01:00;00:06:00;25;24.9992;24.9979;0;0;1500;9000;9000;906;1497;8083;0;11;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;00:00:36:046;00:00:36:075;00:00:00:171;00:00:00:203;00:00:36:046;00:00:36:063;00:00:00:171;00:00:00:367;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-28	10:40:35:842	1372396235.842500;2013-06-28	10:41:35:844	1372396295.844500;00:01:00;00:07:00;25;24.9992;24.9981;0;0;1500;10500;10500;901;1505;9588;0;11;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;00:00:36:070;00:00:36:074;00:00:00:161;00:00:00:197;00:00:36:070;00:00:36:064;00:00:00:161;00:00:00:343;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-28	10:41:35:844	1372396295.844500;2013-06-28	10:42:35:844	1372396355.844500;00:01:00;00:08:00;25;25;24.9983;0;0;1500;12000;12000;900;1501;11089;0;11;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;00:00:36:032;00:00:36:068;00:00:00:157;00:00:00:192;00:00:36:032;00:00:36:060;00:00:00:157;00:00:00:324;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-28	10:42:35:844	1372396355.844500;2013-06-28	10:43:35:844	1372396415.844500;00:01:00;00:09:00;25;25;24.9985;0;0;1500;13500;13500;906;1494;12583;0;11;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;00:00:36:059;00:00:36:067;00:00:00:151;00:00:00:188;00:00:36:059;00:00:36:060;00:00:00:151;00:00:00:309;0;0;0;0;0;0;0;0;0;0;
